,smiles,cmpd_id,fragmentA,fragmentB,sucos,int_count
44,O[C@@H](CNCc1nnc2ccccn12)c1ccc2c(c1)OCO2,MOLPORT:009-076-414,x1140_0A,x1594_0A,0.6685674778768235,4
45,O=C(NCc1ccc2c(c1)OCO2)NCc1nnc2ccc(C(F)(F)F)cn12,ENAMINE:Z402399032,x1594_0A,x1140_0A,0.6671807538218829,3
46,O=C(NCc1nnc2ccc(C(F)(F)F)cn12)c1ccc2c(c1)OCO2,ENAMINE:Z154334660,x1594_0A,x1140_0A,0.6658017850689525,7
47,Cc1nnc2c(N[C@H](C)C(=O)N3CCCCC3)nccn12,ENAMINE:Z3076065091,x0147_0A,x1071_0A,0.6638397393470513,3
48,Cc1nnc2ccc(S(=O)(=O)N(CC(=O)OC(C)(C)C)c3ccc4c(c3)OCO4)cn12,MOLPORT:009-717-267,x1594_0A,x2021_0A,0.6626979151888792,4
49,Cc1ccc2nnc(CNC(=O)c3ccc4c(c3)OCO4)n2c1,ENAMINE:PV-001855007639,x1594_0A,x1140_0A,0.6620600190029485,4
50,O=C(Nc1cccn2cnnc12)N(Cc1ccc2c(c1)OCO2)C1CCCC1,MOLPORT:042-571-647,x1594_0A,x1140_0A,0.6608158093851468,4
51,C[C@@H](NC(=O)c1ccc2c(c1)OCO2)c1nnc2ccccn12,"MOLPORT:002-662-166,MOLPORT:005-694-712",x1140_0A,x1594_0A,0.657585377162443,5
52,CCS(=O)(=O)NCc1nc(-c2ccccn2)no1,ENAMINE:Z1230768262,x1498_0A,x1140_0A,0.6484426798155303,4
53,CC(=O)c1ccc(N2CCC[C@H]2c2ccc3c(c2)OCO3)nc1,ENAMINE:Z1576783909,x1498_0A,x1919_0A,0.6478306431281369,7
54,CCS(=O)(=O)NC[C@@]12COC[C@@H]1CN(Cc1ccncc1)C2,MOLPORT:047-262-369,x1498_0A,x1140_0A,0.6477136617813248,5
55,CCc1nnc2ccc(S(=O)(=O)N(CC)c3ccc4c(c3)OCO4)cn12,MOLPORT:010-916-291,x1594_0A,x2021_0A,0.6449840178674792,8
56,O=C(NCCCc1nnc2ccccn12)c1ccc2c(c1)OCO2,MOLPORT:008-314-423,x1140_0A,x1594_0A,0.6435530699242028,6
57,c1cn2cnnc2cc1-c1noc(-c2ccc3c(c2)OCO3)n1,MOLPORT:010-931-539,x1594_0A,x2021_0A,0.6426469503712906,4
58,Cc1nnc2ccc(S(=O)(=O)N(CC#N)c3ccc4c(c3)OCO4)cn12,MOLPORT:010-916-286,x1594_0A,x1140_0A,0.6415042068591124,3
59,CC(C)(C)c1nnc2ccc(C(=O)NCc3ccc4c(c3)OCO4)cn12,ENAMINE:Z1709677554,x1594_0A,x1140_0A,0.6408503042632613,4
60,Cc1nnc2ccc(S(=O)(=O)N(CC(=O)OC(C)(C)C)c3ccc4c(c3)OCO4)cn12,MOLPORT:009-717-267,x1594_0A,x1919_0A,0.6402804984142295,7
61,O=S(=O)(CCn1cccn1)NCc1nnc2ccccn12,ENAMINE:Z2772346938,x1140_0A,x1594_0A,0.637798924718384,7
62,CCc1nnc2ccc(S(=O)(=O)N(CC)c3ccc4c(c3)OCO4)cn12,MOLPORT:010-916-291,x1594_0A,x1919_0A,0.6374721564869936,4
63,O=C(N[C@@H]1CCN(c2nccn3cnnc23)C1)c1ccno1,MOLPORT:042-611-477,x0147_0A,x1052_1A,0.6372447392437586,3
64,OC[C@@H](c1ccc2c(c1)OCO2)N(CCc1nnc2ccccn12)C[C@@H](O)c1ccc2c(c1)OCO2,MOLPORT:009-117-950,x1594_0A,x2021_0A,0.6368592957191854,5
65,O=C(NCCc1nnc2ccccn12)c1ccc2c(c1)OCO2,"ENAMINE:Z137019992,MOLPORT:002-662-919",x1594_0A,x2021_0A,0.6362774964652244,4
66,O=C(CSc1nnc2ccccn12)Nc1ccc2c(c1)OCO2,MOLPORT:000-224-370,x1594_0A,x2021_0A,0.6357940175660578,4
67,c1cn2cnnc2cc1-c1noc(-c2ccc3c(c2)OCO3)n1,MOLPORT:010-931-539,x1594_0A,x1919_0A,0.6344132985795274,3
68,C[C@H](NC(=O)NCc1nnc2ccccn12)c1ccc2c(c1)OCO2,MOLPORT:009-159-092,x1140_0A,x1594_0A,0.6330266077988166,4
69,Cc1nnc2c(NCc3ccc4c(c3)OCO4)nccn12,ENAMINE:Z1230717304,x0147_0A,x2021_0A,0.6321217828754581,7
